"where";"id";"gender";"age";"education";"employment";"is_rescue_worker";"red_cross_commeetee_location";"rescue_worker_qualification";"years_experience";"last_training";"rate_of_activity";"job_qualification";"is_job_qualification_invariant";"is_team_invariant";"neuroticism";"negative_affect";"i1_na";"i2_na";"i3_na";"i4_na";"i5_na";"i1_sr";"i2_sr";"i3_sr";"i4_sr";"i5_sr";"i6_sr";"i7_sr";"self_reproach";"extraversion";"openness";"agreeableness";"nonantagonistic_orientation";"prosocial_orientation";"conscientiousness";"cope_nvi";"social_support";"avoiding_strategies";"positive_attitude";"problem_orientation";"transcendent_orientation";"avoiding_strategies_R";"transcendent_orientation_R";"ptg";"life_appreciation";"new_possibilities";"personal_strength";"spirituality_changes";"interpersonal_relationships";"ies";"avoiding";"intrusivity";"iperarousal";"self_kindness";"self_judgment";"common_humanity";"isolation";"mindfulness";"over_identification";"neg_self_compassion";"pos_self_compassion";"family";"friends";"significant_other"
"lombardia";"Am80482";"male";32;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Casorate Primo";"Si";"15";"Meno di 6 mesi fa";"1 turno ogni due settimane";"Capo-squadra";"Yes";"No";11;7;2;0;0;3;2;0;1;0;3;0;0;0;4;32;37;32;20;12;43;127;27;17;29;35;19;67;21;36;6;10;14;0;6;15;7;8;0;8;12;10;19;16;19;50;34;24;16;24
"lombardia";"GMG437149";"male";38;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Bergamo";"Si";"14";"Meno di 1 anno fa";"1 turno ogni due settimane";"Soccorritore";"No";"No";25;14;3;2;2;3;4;2;2;2;2;2;1;0;11;36;29;36;23;13;43;134;24;25;31;38;16;58;24;57;9;15;12;0;21;14;9;5;0;12;21;9;20;11;20;61;32;24;21;21
"lombardia";"TP424811";"female";33;"Laurea breve";"Dipendente";"Yes";"Comitato di Area Sud Milanese";"Si";"14";"Meno di 1 anno fa";"Meno di 1 turno al mese";"Capo-squadra";"Yes";"No";26;10;1;2;2;3;2;3;2;3;2;3;2;1;16;35;15;28;16;12;39;138;33;23;29;29;24;60;16;14;4;3;3;0;4;14;4;8;2;14;11;12;12;13;10;33;39;15;16;16
"lombardia";"MCP395039";"male";21;"Diploma";"Studente";"Yes";"Comitato di Varese";"Si";"3";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";20;9;2;3;3;0;1;2;2;1;4;0;1;1;11;39;26;30;17;13;35;142;29;17;37;40;19;67;21;3;0;0;3;0;0;40;16;17;7;13;11;12;13;16;18;42;41;13;12;10
"lombardia";"AP45558";"male";20;"Diploma";"Dipendente";"Yes";"Comitato di Mantova";"Si";"1";"Meno di 2 mesi fa";"1 turno al mese";"Soccorritore";"Yes";"No";27;13;3;2;2;3;3;1;2;2;3;2;2;2;14;33;24;31;19;12;20;136;27;27;37;30;15;56;25;35;9;7;6;1;12;19;8;8;3;10;10;13;7;11;10;27;34;15;17;11
"lombardia";"PB513116";"female";21;"Diploma";"Studente";"Yes";"Comitato di Legnano";"Si";"1";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";18;8;1;1;1;2;3;2;2;1;2;1;1;1;10;38;32;32;19;13;37;124;29;19;30;30;16;64;24;26;6;6;5;0;9;8;7;1;0;15;19;12;16;13;18;53;40;21;17;24
"lombardia";"Lv109836";"male";27;"Laurea breve";"Dipendente";"Yes";"Comitato di Lodi";"Si";"9";"Meno di 1 anno fa";"1 turno a settimana";"Infermiere";"Yes";"No";32;14;2;3;2;4;3;2;4;3;4;2;1;2;18;34;30;27;15;12;37;145;34;41;29;29;12;40;28;61;12;15;14;0;20;76;24;32;20;10;8;11;6;8;8;22;29;20;21;17
"lombardia";"LS92231";"male";27;"Diploma";"Dipendente";"Yes";"Comitato di Busto Arsizio";"Si";"3";"Più di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"Yes";45;19;4;3;4;4;4;4;4;4;4;4;2;4;26;31;35;38;24;14;39;157;39;29;27;31;31;55;9;87;12;20;14;10;31;60;18;24;18;13;6;10;4;4;4;14;27;19;24;24
"lombardia";"AB730121";"female";25;"Diploma";"Studente";"Yes";"Comitato di Varese";"Si";"3";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"lombardia";"LJ94501";"female";59;"Diploma";"Dipendente";"Yes";"Comitato di Como";"Si";"3";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Soccorritore";"Yes";"No";32;8;4;4;0;0;0;4;4;4;4;4;4;0;24;32;21;43;28;15;44;169;48;24;36;40;21;60;19;94;15;22;20;2;35;34;17;16;1;22;10;20;8;14;6;24;56;24;24;24
"lombardia";"IG18006";"male";54;"Diploma";"Libero professionista";"Yes";"Comitato di Lurate Caccivio";"Si";"34";"Meno di 1 anno fa";"1 turno al mese";"Capo-squadra";"No";"Yes";6;5;3;1;0;1;0;0;0;0;1;0;0;0;1;37;29;34;21;13;35;126;21;16;32;37;20;68;20;0;0;0;0;0;0;1;0;1;0;13;22;7;20;13;20;62;33;24;23;22
"lombardia";"MNF783615";"male";22;"Diploma";"Studente";"Yes";"Comitato di Groane";"Si";"2";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";24;9;1;1;3;2;2;2;3;3;2;2;2;1;15;20;32;30;18;12;34;129;27;26;36;28;12;58;28;37;0;11;12;0;14;27;18;9;0;8;9;8;8;15;7;24;31;17;19;24
"lombardia";"SC949550";"female";43;"Diploma";"Dipendente";"Yes";"Comitato di Gallarate";"Si";"23";"Meno di 6 mesi fa";"1 turno ogni due settimane";"Capo-squadra";"Yes";"Yes";21;13;4;1;2;3;3;0;2;1;3;0;2;0;8;29;38;26;16;10;42;121;28;18;26;30;19;66;21;49;7;13;9;0;20;4;0;4;0;11;17;11;16;12;14;47;34;24;22;24
"lombardia";"Pc815432";"female";24;"Diploma";"Dipendente";"Yes";"Comitato di Brugherio";"Si";"1";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";25;13;4;3;1;4;1;2;3;2;3;2;0;0;12;41;32;34;19;15;44;141;33;19;28;36;25;65;15;80;14;24;15;3;24;49;16;18;15;11;12;16;10;10;15;37;37;24;20;23
"lombardia";"LF74364";"female";26;"Diploma";"Dipendente";"Yes";"Comitato di Lecco";"Si";"3";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"Yes";"Yes";6;3;1;0;1;0;1;1;1;0;0;1;0;0;3;38;24;36;25;11;35;121;20;16;35;32;18;68;22;15;0;0;4;0;11;0;0;0;0;17;23;11;20;17;20;63;45;12;21;10
"lombardia";"LT292042";"male";19;"Diploma";"Studente";"Yes";"Comitato di Brescia";"Si";"1";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"Yes";"No";29;13;4;3;2;2;2;1;2;2;4;1;2;4;16;37;26;29;16;13;44;137;24;33;35;29;16;48;24;46;7;6;15;0;18;44;22;17;5;12;11;12;12;9;13;36;33;13;17;21
"lombardia";"ES55541";"male";39;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Busto Arsizio";"Si";"17";"Meno di 6 mesi fa";"1 turno a settimana";"Capo-squadra";"No";"Yes";12;5;1;1;1;1;1;1;1;0;3;1;1;0;7;33;20;37;24;13;34;117;20;22;29;33;13;62;27;54;9;15;15;0;15;25;14;7;4;13;20;12;18;13;17;55;38;21;12;15
"lombardia";"MCN87";"female";32;"Diploma";"Disoccupato";"Yes";"Comitato di Pavia";"Si";"14";"Più di 1 anno fa";"1 turno a settimana";"Capo-squadra";"No";"No";18;15;3;0;4;4;4;0;0;0;1;2;0;0;3;41;34;32;20;12;41;117;31;19;19;27;21;65;19;43;15;7;13;0;8;14;12;2;0;15;15;12;14;12;16;45;39;24;24;24
"lombardia";"FS3663";"male";29;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Crema";"Si";"5";"Meno di 1 anno fa";"1 turno ogni due settimane";"Capo-squadra";"No";"Yes";21;10;1;3;3;1;2;2;1;1;2;2;2;1;11;32;28;28;16;12;25;139;32;27;34;36;10;57;30;38;7;6;6;0;19;9;3;6;0;14;19;14;18;12;18;55;40;13;21;24
"lombardia";"SC66602";"female";37;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Como";"Si";"2";"Meno di 1 anno fa";"1 turno ogni due settimane";"Soccorritore";"No";"No";31;14;4;3;1;3;3;3;1;3;1;3;3;3;17;18;33;30;25;5;26;148;36;22;39;31;20;62;20;18;4;4;5;0;5;48;21;19;8;16;9;15;7;12;8;24;43;19;12;12
"lombardia";"AT356773";"male";26;"Diploma";"Studente";"Yes";"Comitato di Milano";"Si";"6";"Meno di 1 anno fa";"1 turno a settimana";"Capo-squadra";"Yes";"Yes";21;9;3;1;1;2;2;3;2;3;0;2;2;0;12;25;33;32;19;13;35;145;33;20;37;35;20;64;20;18;0;0;12;0;6;11;6;2;3;14;14;11;13;14;16;43;39;19;24;24
"lombardia";"MM759212";"female";24;"Diploma";"Studente";"Yes";"Comitato di Varese";"Si";"4";"Meno di 1 anno fa";"1 turno a settimana";"Capo-squadra";"Yes";"No";38;16;0;4;4;4;4;4;4;4;3;2;3;2;22;27;40;25;14;11;33;144;43;20;27;34;20;64;20;35;8;9;9;0;9;62;14;30;18;5;5;6;4;9;4;13;20;7;19;20
"lombardia";"AB593011";"female";56;"Diploma";"Dipendente";"Yes";"Comitato di Calvisano";"Si";"12";"Meno di 1 anno fa";"1 turno a settimana";"Capo-squadra";"Yes";"No";22;9;2;2;2;1;2;2;2;2;2;2;2;1;13;32;25;32;21;11;31;127;23;23;33;28;20;61;20;16;3;2;5;0;6;14;2;9;3;14;15;10;18;13;17;50;37;20;24;24
"lombardia";"PV904998";"female";30;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Cinisello balsamo";"Si";"5";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";22;10;2;3;2;1;2;1;2;3;1;2;2;1;12;33;30;31;21;10;31;142;34;21;35;32;20;62;20;65;7;13;15;3;27;46;14;19;13;20;14;15;12;17;11;37;52;18;16;22
"lombardia";"433726";"male";19;"Diploma";"Studente";"Yes";"Comitato di Saronno";"Si";"1";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"No";33;12;2;2;2;3;3;4;3;4;4;1;1;4;21;31;25;31;22;9;38;118;18;20;27;35;18;63;22;36;4;5;13;1;13;25;7;10;8;8;7;9;6;10;11;24;27;15;7;17
"lombardia";"LS0184101";"male";25;"Diploma";"Dipendente";"Yes";"Comitato di Saronno";"Si";"5";"Più di 1 anno fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";21;6;1;2;1;1;1;3;3;2;3;2;0;2;15;25;25;35;24;11;38;142;34;26;34;33;15;56;25;27;5;5;8;0;9;11;4;6;1;18;16;12;13;15;18;47;45;18;20;24
"lombardia";"MR753522";"female";25;"Diploma";"Studente";"Yes";"Comitato di Area Sud Milanese";"Si";"5";"Più di 6 mesi fa";"1 turno a settimana";"Capo-squadra";"No";"No";40;18;2;4;4;4;4;4;4;4;2;3;2;3;22;29;19;27;16;11;26;144;26;39;34;32;13;42;27;23;1;3;17;0;2;35;8;18;9;5;5;6;5;7;6;16;18;13;19;17
"lombardia";"EP285112";"female";22;"Diploma";"Studente";"Yes";"Comitato di Cremona";"Si";"4";"Meno di 6 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";24;12;2;3;2;2;3;2;2;1;3;1;1;2;12;26;21;33;22;11;44;111;26;18;25;23;19;66;21;32;1;7;10;0;14;11;4;5;2;13;14;6;12;10;13;39;29;22;18;20
"lombardia";"Ez64646";"female";43;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Lomazzo";"Si";"3";"Meno di 6 mesi fa";"1 turno ogni due settimane";"Capo-squadra";"Yes";"Yes";19;12;3;3;2;2;2;2;2;1;1;0;1;0;7;43;33;34;21;13;32;167;44;28;40;37;18;54;22;56;12;11;16;0;17;28;17;9;2;16;13;19;9;14;10;32;49;24;24;24
"lombardia";"MC78674";"male";23;"Diploma";"Libero professionista";"Yes";"Comitato di Palazzolo Sull’Oglio";"Si";"1";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"No";"No";14;7;1;0;3;3;0;0;2;0;2;1;1;1;7;43;28;35;20;15;45;120;24;16;38;27;15;68;25;57;10;12;16;0;19;0;0;0;0;12;20;9;18;14;19;57;35;18;22;18
"lombardia";"Rc860611";"male";51;"Diploma";"Dipendente";"Yes";"Comitato di Lodi";"Si";"21";"Meno di 6 mesi fa";"1 turno a settimana";"Autista";"Yes";"No";15;10;1;0;2;3;4;0;2;0;3;0;0;0;5;32;16;34;23;11;38;139;25;23;38;37;16;61;24;43;10;6;18;1;8;24;7;9;8;8;21;6;19;16;20;60;30;24;12;24
"lombardia";"ML99692";"female";27;"Diploma";"Dipendente";"Yes";"Comitato di Como";"Si";"2";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"No";"No";30;11;2;3;2;3;1;2;3;3;3;3;3;2;19;27;25;37;24;13;34;138;25;26;33;30;24;56;16;55;8;11;12;7;17;19;6;13;0;10;12;8;5;9;9;26;27;23;18;24
"lombardia";"RR676617";"female";32;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Como";"Si";"1";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"No";"No";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;44;39;41;30;11;46;134;23;16;36;39;20;68;20;48;8;9;15;0;16;8;6;2;0;25;23;16;20;20;20;63;61;24;24;24
"lombardia";"EV68875";"female";41;"Dottorato";"Libero professionista";"Yes";"Comitato di Monza";"Si";"3";"Più di 1 anno fa";"1 turno ogni due settimane";"Capo-squadra";"Yes";"No";20;7;1;1;2;2;1;2;2;2;2;2;2;1;13;36;27;30;20;10;41;149;35;21;30;35;28;61;12;78;12;16;13;6;31;39;12;19;8;14;12;11;9;14;10;31;39;24;22;22
"lombardia";"PG634129";"male";45;"Diploma";"Dipendente";"Yes";"Comitato di Bergamo Hinterland";"Si";"2";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"No";"No";32;16;2;3;4;3;4;1;4;1;3;3;1;3;16;17;30;34;22;12;32;147;29;28;39;36;15;53;25;35;5;6;9;0;15;23;12;7;4;17;11;15;7;15;9;27;47;13;12;13
"lombardia";"LB3466111";"male";22;"Diploma";"Studente";"Yes";"Comitato di San Fermo della Battaglia";"Si";"3";"Meno di 2 mesi fa";"1 turno a settimana";"Capo-squadra";"No";"No";9;5;2;0;2;1;0;0;2;0;1;0;1;0;4;41;32;33;21;12;42;153;39;18;38;37;21;65;19;41;6;10;14;0;11;8;3;4;1;14;16;11;18;19;19;53;44;23;23;24
"lombardia";"28D";"male";31;"Diploma";"Dipendente";"Yes";"Comitato di Luino";"Si";"10";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"Yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"lombardia";"DB42191";"female";36;"Diploma";"Dipendente";"Yes";"Comitato di Vigevano";"Si";"8";"Meno di 6 mesi fa";"1 turno a settimana";"Capo-squadra";"No";"Yes";14;10;1;3;2;2;2;1;0;1;0;2;0;0;4;26;31;41;29;12;18;116;15;26;37;28;10;57;30;14;0;0;9;0;5;16;2;14;0;19;19;19;18;20;17;54;58;20;24;22
"lombardia";"VG89673";"female";35;"Diploma";"Disoccupato";"Yes";"Comitato di Bergamo Ovest e Valle Imagna";"Si";"3";"Più di 1 anno fa";"1 turno a settimana";"Soccorritore";"No";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"lombardia";"MS289355";"female";23;"Diploma";"Studente";"Yes";"Comitato di Bergamo Hinterland";"Si";"5";"Meno di 1 anno fa";"1 turno ogni due settimane";"Capo-squadra";"Yes";"No";27;13;3;2;3;2;3;0;3;3;1;3;3;1;14;29;37;24;16;8;16;135;41;24;33;24;13;60;27;23;9;7;5;0;2;41;16;18;7;21;17;19;8;10;4;29;50;24;24;24
"lombardia";"LS61603";"male";56;"Diploma";"Dipendente";"Yes";"Comitato di Brescia";"Si";"1";"Meno di 6 mesi fa";"1 turno ogni due settimane";"Soccorritore";"No";"Yes";24;13;2;2;3;3;3;2;2;1;2;2;2;0;11;35;25;31;20;11;37;133;28;18;34;34;19;65;21;44;7;9;9;1;18;6;2;3;1;12;18;11;18;12;15;51;35;20;16;20
"lombardia";"AP396031";"male";55;"Diploma";"Libero professionista";"Yes";"Comitato di Stradella";"Si";"35";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Autista";"No";"Yes";11;7;1;0;4;2;0;1;1;0;1;0;1;0;4;39;23;34;21;13;37;138;25;18;32;39;24;66;16;54;12;11;10;5;16;4;3;1;0;11;17;7;17;15;20;54;33;24;21;24
"lombardia";"LG270119";"female";39;"Laurea breve";"Dipendente";"Yes";"Comitato di Casteggio";"Si";"3";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"No";21;9;2;2;2;2;1;2;2;2;2;1;2;1;12;35;23;33;21;12;38;145;34;20;29;34;28;64;12;58;9;14;10;4;21;26;9;12;5;9;9;14;17;9;16;42;32;24;16;24
"lombardia";"Bi65462";"female";50;"Diploma";"Dipendente";"Yes";"Comitato di Como";"Si";"2";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"No";"No";24;9;1;3;1;1;3;2;3;1;1;3;2;3;15;31;32;35;20;15;34;143;33;21;36;33;20;63;20;32;7;5;8;0;12;11;2;6;3;18;13;15;11;10;8;32;43;19;17;20
"lombardia";"RC01741";"female";58;"Diploma";"Disoccupato";"Yes";"Comitato di Paderno Dugnano";"Si";"1";"Più di 1 anno fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";24;12;3;3;2;2;2;2;3;2;1;3;1;0;12;33;35;37;24;13;26;142;33;29;30;32;18;53;22;58;7;12;13;0;26;30;10;17;3;14;16;13;12;13;12;40;40;20;23;20
"lombardia";"Vo510911";"male";62;"Scuola media primaria";"Pensionato";"Yes";"Comitato di Voghera";"Si";"12";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Autista";"No";"No";19;7;1;1;1;1;3;3;1;3;2;1;1;1;12;33;32;31;19;12;35;120;25;23;26;24;22;60;18;58;7;12;11;6;22;7;4;2;1;9;18;9;15;12;16;49;30;20;16;19
"lombardia";"CF10195";"female";57;"Diploma";"Disoccupato";"Yes";"Comitato di Bergamo Hinterland";"Si";"10";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"Yes";"Yes";17;8;4;2;1;0;1;1;2;1;1;1;2;1;9;36;31;36;22;14;40;155;32;19;38;42;24;65;16;56;9;11;12;1;23;16;2;10;4;11;16;12;17;11;17;50;34;24;24;24
"lombardia";"MP35546";"male";35;"Diploma";"Dipendente";"Yes";"Comitato di Palazzolo sull’Oglio";"Si";"1";"Meno di 6 mesi fa";"1 turno a settimana";"Autista";"Yes";"No";23;9;1;2;2;2;2;2;3;2;2;2;1;2;14;30;25;29;17;12;34;145;25;23;38;37;22;60;18;70;14;20;14;1;21;6;3;2;1;15;15;14;14;16;17;46;45;22;15;17
"lombardia";"KW469415";"female";22;"Diploma";"Studente";"Yes";"Comitato di Milano";"Si";"3";"Più di 1 anno fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";21;9;3;1;1;1;3;1;3;3;1;3;1;0;12;29;25;12;10;2;18;101;17;31;18;23;12;50;28;9;0;0;9;0;0;6;4;2;0;6;7;8;10;10;11;28;24;16;6;14
"lombardia";"BW60208";"male";42;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Area Nord Milanese";"Si";"15";"Meno di 6 mesi fa";"1 turno a settimana";"Autista";"Yes";"No";20;10;1;1;3;2;3;1;2;2;1;0;1;3;10;24;28;28;18;10;34;131;27;21;25;34;24;62;16;18;4;0;9;0;5;6;2;4;0;7;8;13;11;15;15;34;35;18;20;15
"lombardia";"DR111616";"male";20;"Diploma";"Studente";"Yes";"Comitato di Varese";"Si";"2";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"Yes";24;13;3;3;3;1;3;3;2;3;1;1;1;0;11;28;17;26;16;10;43;140;21;23;41;39;16;59;24;7;0;3;3;0;1;24;12;5;7;12;9;8;13;14;13;35;34;7;17;12
"lombardia";"CR340312";"female";26;"Diploma";"Dipendente";"Yes";"Comitato di Mantova";"Si";"3";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"No";"No";28;12;2;3;3;3;1;2;3;4;2;4;1;0;16;26;37;34;20;14;26;127;17;25;36;32;17;57;23;10;0;4;2;0;4;13;6;4;3;12;12;15;11;14;11;34;41;9;9;4
"lombardia";"MC93966";"female";35;"Diploma";"Dipendente";"Yes";"Comitato di Cantù";"Si";"7";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"No";"No";16;9;1;2;2;2;2;1;2;0;2;1;1;0;7;43;36;37;23;14;36;143;31;25;32;38;17;59;23;73;12;15;15;4;27;14;3;11;0;19;24;16;16;15;16;56;50;24;24;24
"lombardia";"441991";"female";28;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Monza";"Si";"6";"Più di 2 mesi fa";"1 turno ogni due settimane";"Capo-squadra";"No";"Yes";26;11;3;3;2;3;0;2;3;2;3;2;1;2;15;34;17;30;17;13;43;148;37;23;40;39;9;61;31;13;3;3;4;0;3;13;6;6;1;11;8;17;10;18;13;31;46;20;23;24
"lombardia";"LD855111";"male";45;"Diploma";"Libero professionista";"Yes";"Comitato di Villasanta";"Si";"2";"Più di 1 anno fa";"1 turno a settimana";"Soccorritore";"No";"No";9;5;0;0;4;0;1;0;1;0;2;0;1;0;4;40;24;33;19;14;47;144;29;18;43;41;13;66;27;66;8;13;18;0;27;8;4;1;3;13;17;12;17;19;19;53;44;24;20;24
"lombardia";"SZ2329200";"female";22;"Diploma";"Dipendente";"Yes";"Comitato di Bergamo";"Si";"4";"Meno di 6 mesi fa";"1 turno a settimana";"Soccorritore";"No";"No";23;9;1;3;2;3;0;2;3;2;3;3;1;0;14;35;27;26;17;9;38;129;35;17;26;31;20;67;20;47;7;12;7;0;21;14;7;5;2;9;13;8;17;12;16;46;29;17;24;24
"lombardia";"AD201016";"female";58;"Scuola media primaria";"Disoccupato";"Yes";"Comitato di Palazzolo sull'oglio";"Si";"9";"Meno di 6 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";18;6;1;0;1;3;1;3;0;1;3;3;0;2;12;39;18;20;10;10;43;153;23;29;41;32;28;53;12;77;6;22;20;6;23;11;8;2;1;17;13;12;14;12;14;41;41;13;17;22
"lombardia";"MC55763";"female";27;"Laurea breve";"Studente";"Yes";"Comitato di Bergamo Hinterland";"Si";"5";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Capo-squadra";"Yes";"Yes";38;17;4;2;4;4;3;4;2;4;2;3;2;4;21;18;36;32;22;10;28;155;41;32;31;33;18;50;22;52;10;18;11;0;13;25;6;11;8;8;11;8;5;10;7;23;26;22;13;21
"lombardia";"AO114716";"female";27;"Laurea breve";"Dipendente";"Yes";"Comitato di Cremona";"Si";"2.5";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"No";4;3;1;1;1;0;0;0;0;0;1;0;0;0;1;45;30;44;29;15;38;153;39;18;37;37;22;66;18;72;14;18;15;2;23;10;5;5;0;19;16;16;13;15;16;45;50;20;20;20
"lombardia";"EB402177";"female";23;"Laurea breve";"Disoccupato";"Yes";"Comitato di Uggiate Trevano";"Si";"4";"Meno di 6 mesi fa";"1 turno ogni due settimane";"Soccorritore";"No";"No";16;10;2;2;1;3;2;0;3;0;1;1;1;0;6;26;38;37;28;9;36;152;35;18;38;32;29;65;11;27;3;3;12;2;7;0;0;0;0;22;17;12;16;20;17;50;54;21;18;22
"lombardia";"RC3472157";"female";39;"Laurea breve";"Dipendente";"Yes";"Comitato di Montorfano";"Si";"4";"Più di 1 anno fa";"1 turno a settimana";"Capo-squadra";"No";"Yes";18;7;2;0;2;2;1;2;1;1;3;1;1;2;11;32;33;29;19;10;35;141;33;18;32;31;27;65;13;46;7;8;10;2;19;25;6;13;6;10;14;9;15;11;15;44;30;23;18;20
"lombardia";"GT22724";"female";42;"Scuola media primaria";"Disoccupato";"Yes";"Comitato di Bergamo Ovest e Valle Imagna";"Si";"15";"Meno di 1 anno fa";"1 turno a settimana";"Capo-squadra";"No";"Yes";26;13;4;2;1;3;3;2;3;1;3;3;1;0;13;23;39;40;26;14;32;146;41;20;29;36;20;64;20;24;4;3;9;0;8;15;0;12;3;16;14;14;14;13;13;41;43;22;22;24
"lombardia";"RB009824";"male";57;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Muggiò";"Si";"0";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";12;5;1;0;3;0;1;0;1;1;2;1;1;1;7;33;38;36;23;13;46;148;29;18;38;43;20;66;20;61;10;17;17;2;15;5;0;5;0;18;18;14;14;14;14;46;46;8;8;10
"lombardia";"PM447713";"female";55;"Scuola media primaria";"Dipendente";"Yes";"Comitato di Cantù";"Si";"8";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";19;7;1;3;0;3;0;4;0;3;3;1;1;0;12;40;34;40;24;16;34;135;26;16;42;34;17;68;23;7;1;2;2;0;2;1;0;1;0;11;19;19;17;20;20;56;50;24;20;20
"lombardia";"CN90106";"male";26;"Diploma";"Studente";"Yes";"Comitato di Crema";"Si";"2";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"Yes";34;18;3;3;4;4;4;2;3;3;0;4;4;0;16;17;33;32;19;13;11;136;39;24;36;20;17;57;23;14;1;0;8;0;5;41;8;21;12;7;15;10;15;9;12;42;26;13;24;20
"lombardia";"sc17997";"female";19;"Diploma";"Studente";"Yes";"Comitato di Milano";"Si";"1";"Più di 1 anno fa";"Più di 1 turno a settimana";"Soccorritore";"Yes";"Yes";15;5;1;1;1;1;1;3;1;0;1;1;1;3;10;36;39;30;21;9;36;130;19;28;37;31;15;54;25;16;4;1;7;0;4;14;5;7;2;12;11;9;11;13;12;34;34;19;20;19
"lombardia";"Pp9011144";"female";38;"Scuola media primaria";"Dipendente";"Yes";"Comitato di Varese";"Si";"2";"Più di 1 anno fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";37;17;4;3;3;3;4;2;3;4;1;3;4;3;20;34;39;41;27;14;33;140;31;21;32;32;24;62;16;54;10;12;9;4;19;21;4;13;4;7;15;7;12;8;13;40;22;17;9;12
